,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
187,35.2227,72.4258,3.0,5.0,31.397260273972602,4.0,1.0,2009,8,15,1430,8,24,2,55,4,13,0,1,6
188,35.2227,72.4258,14.725714285714286,1.0,31.397260273972602,3.0,1.0,2009,8,16,1430,8,25,0,55,4,13,0,1,6
189,32.9746,70.1456,3.0,7.0,31.397260273972602,3.0,1.0,2009,8,18,1430,8,27,2,37,4,9,0,1,5
190,33.5833,71.4333,14.725714285714286,0.0,31.397260273972602,39.45986984815618,1.0,2009,8,21,1430,8,30,2,24,4,2,0,1,1
191,35.2227,72.4258,2.0,3.0,2.0,8.0,1.0,2009,8,22,1430,9,1,2,55,4,15,1,0,6
192,34.0043,71.5448,14.725714285714286,3.0,31.397260273972602,15.0,1.0,2009,8,23,1430,9,2,0,40,4,15,1,1,0
193,34.0211,71.2874,20.0,22.0,10.0,27.0,1.0,2009,8,27,1430,9,6,2,23,3,9,0,1,5
194,35.2227,72.4258,16.0,18.0,4.0,14.0,1.0,2009,8,30,1430,9,9,0,55,4,13,0,0,6
195,33.5351,71.0713,14.725714285714286,15.20625,2.0,4.0,1.0,2009,9,12,1430,9,22,2,14,4,13,0,0,6
196,34.503,71.9046,14.725714285714286,1.0,3.0,5.0,2.0,2009,9,13,1430,9,23,0,30,4,9,0,1,5
197,33.5833,71.4333,30.0,37.0,50.0,60.0,1.0,2009,9,18,1430,9,28,2,24,4,8,1,1,1
198,33.6854,71.5131,14.725714285714286,2.0,31.397260273972602,1.0,1.0,2009,9,19,1430,9,29,2,10,4,13,0,1,6
199,34.2,72.5,14.725714285714286,0.0,31.397260273972602,39.45986984815618,1.0,2009,9,21,1430,10,2,2,61,4,3,1,0,3
200,32.9861,70.6042,7.0,10.0,50.0,65.0,1.0,2009,9,26,1430,10,7,2,2,4,13,0,1,6
201,34.0043,71.5448,10.0,14.0,50.0,120.0,1.0,2009,9,26,1430,10,7,2,40,4,1,1,1,1
202,32.935,70.6688,4.0,5.0,31.397260273972602,39.45986984815618,1.0,2009,9,28,1430,10,9,2,2,4,10,1,1,0
203,33.718,73.0718,14.725714285714286,5.0,3.0,8.0,1.0,2009,10,5,1430,10,16,2,17,2,4,0,0,2
204,34.0043,71.5448,48.0,50.0,148.0,187.0,1.0,2009,10,9,1430,10,20,2,40,4,8,1,1,1
205,34.8015,72.757,14.725714285714286,41.0,45.0,50.0,1.0,2009,10,12,1430,10,23,2,48,4,10,0,1,5
206,33.5833,71.4333,11.0,12.0,20.0,24.0,1.0,2009,10,15,1430,10,26,2,24,4,13,0,0,6
207,31.5451,74.3407,14.725714285714286,18.0,31.397260273972602,50.0,1.1159420289855073,2009,10,15,1430,10,26,2,26,5,13,0,0,6
